발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,경도,위도,발생분,부상자수,CCTV설치유무,보호구역지정일
2023,2023-10-12 23:00,야,목,1,,0,0,0,부산,금정구,차대차,추돌,추돌,,_안전운전 의무 불이행,단일로,기타단일로,_,이륜차_,_,화물차_,129.0765438,35.22978887,,0.0,없음,20190331
2015,2015-07-10 20:55,야,금,1,1.0,0,0,0,부산,강서구,차대사람,기타,기타,운전자법규위반,과속_,교차로,교차로내,승용차_,중형_,보행자_,보행자_,128.9030344,35.11896003,,,없음,20190331
2015,2015-10-07 5:14,야,수,1,1.0,0,0,0,부산,기장군,차대사람,횡단중,횡단중,운전자법규위반,신호위반_,단일로,기타단일로,승합차_,소형_,보행자_,보행자_,129.1795317,35.32229321,,,있음,20190331
2015,2015-10-07 5:14,야,수,1,1.0,0,0,0,부산,기장군,차대사람,횡단중,횡단중,운전자법규위반,신호위반_,단일로,기타단일로,승합차_,소형_,보행자_,보행자_,129.1795317,35.32229321,,,없음,20190331
2015,2015-05-20 14:50,주,수,1,1.0,0,0,0,부산,동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,교차로,교차로부근,승합차_,중형_,보행자_,보행자_,129.0634597,35.13763446,,,없음,20190331
2015,2015-11-14 15:03,주,토,1,1.0,0,0,0,부산,북구,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,원동기장치자전거_,원동기장치자전거_,없음_,없음_,129.0095883,35.22657635,,,없음,20190331
2019,2019-09-03 17,주,화,1,,0,0,0,부산,북구,차대사람,횡단중,횡단중,,_안전운전 의무 불이행,기타,기타,_,이륜차_,_,보행자_,129.0118662,35.22794539,,0.0,없음,20190331
2015,2015-08-10 9:15,주,월,1,1.0,0,0,0,부산,사하구,차대차,측면충돌,측면충돌,운전자법규위반,부당한 회전_,교차로,교차로내,승용차_,중형_,원동기장치자전거_,원동기장치자전거_,128.9588884,35.09613851,,,있음,20190331
2017,2017-03-16 11:00,주간,목,1,1.0,0,0,0,부산,사하구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,교차로,교차로횡단보도내,_화물차,_화물차,_보행자,_보행자,128.9600933,35.09603564,0.0,,있음,20190331
2016,2016-06-24 0:00,야간,금,1,1.0,0,0,0,부산,사하구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_화물차,_중형,_보행자,_보행자,128.9971928,35.10180162,59.0,,없음,20190331
2020,2020-09-17 03,야,목,1,,0,0,0,부산,사하구,차량단독,공작물충돌,공작물충돌,,_안전운전 의무 불이행,교차로,교차로부근,_,승용차_,_,없음_,129.0011336,35.10324146,,0.0,없음,20190331
2023,2023-09-01 20:00,야,금,1,,0,0,0,부산,사하구,차대사람,기타,기타,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,보행자_,129.0005299,35.10322189,,0.0,없음,20190331
2019,2019-02-24 01,야,일,1,,0,0,0,부산,영도구,차대사람,횡단중,횡단중,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,보행자_,129.0393688,35.09159987,,0.0,없음,20190331
2020,2020-04-19 19,야,일,1,,0,0,0,부산,영도구,차대사람,기타,기타,,_안전운전 의무 불이행,교차로,교차로횡단보도내,_,승용차_,_,보행자_,129.0381584,35.09257095,,0.0,없음,20190331
2022,2022-07-06 18:00,야,수,1,,0,0,0,부산,영도구,차대차,측면충돌,측면충돌,,_안전운전 의무 불이행,기타,기타,_,승용차_,_,승용차_,129.0425431,35.08890877,,0.0,없음,20190331
2016,2016-06-24 8:00,주간,금,1,7.0,4,1,1,부산,사하구,차대차,기타,기타,운전자법규위반,중앙선 침범_,교차로,교차로부근,_특수차,_대형,_화물차,_소형,128.9866443,35.08591947,38.0,,있음,20190331
2017,2017-09-08 9:00,주간,금,1,1.0,0,0,0,부산,서구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_자전거,_자전거,_없음,_없음,129.0217226,35.08413453,20.0,,있음,20190331
2020,2020-03-27 23,야,금,1,,0,0,0,부산,서구,차대사람,횡단중,횡단중,,_보행자 보호의무 위반,단일로,기타단일로,_,승합차_,_,보행자_,129.0220884,35.08528491,,0.0,있음,20190331
2017,2017-06-26 19:00,야간,월,1,1.0,0,0,0,부산,북구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_화물차,_화물차,_보행자,_보행자,129.0158949,35.20971594,0.0,,없음,20190331
2018,2018-02-08 21:00,야,목,1,1.0,0,0,0,부산,북구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,승합차_,승합차_,보행자_,보행자_,129.0155794,35.20958736,,,없음,20190331
2019,2019-09-17 13,주,화,1,,0,0,0,부산,북구,차대사람,기타,기타,,_안전운전 의무 불이행,교차로,교차로내,_,승용차_,_,보행자_,129.0156016,35.21019115,,0.0,없음,20190331
2020,2020-06-17 01,야,수,1,,0,0,0,부산,북구,차량단독,공작물충돌,공작물충돌,,_안전운전 의무 불이행,단일로,기타단일로,_,이륜차_,_,없음_,129.0127554,35.21185866,,0.0,없음,20190331
2016,2016-07-18 0:00,야간,월,1,1.0,0,0,0,부산,북구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_소형,_보행자,_보행자,129.0113099,35.21163509,40.0,,없음,20190331
2017,2017-11-02 5:00,야간,목,1,1.0,0,0,0,부산,북구,차대사람,횡단중,횡단중,운전자법규위반,신호위반_,단일로,기타단일로,_승합차,_승합차,_보행자,_보행자,129.0108237,35.21142297,20.0,,없음,20190331
2023,2023-05-05 2:00,야,금,1,,0,0,0,부산,북구,차대사람,기타,기타,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,보행자_,129.0120828,35.21178592,,0.0,없음,20190331
2022,2022-11-01 14:00,주,화,1,,0,0,0,부산,서구,차대차,추돌,추돌,,_안전운전 의무 불이행,단일로,터널안,_,이륜차_,_,승용차_,129.003597,35.12863664,,0.0,없음,20190331
2016,2016-07-31 22:00,야간,일,1,1.0,0,0,0,부산,북구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범_,단일로,횡단보도상,_원동기장치자전거,_원동기장치자전거,_승합차,_대형,129.003464,35.20967532,10.0,,없음,20190331
2016,2016-10-04 8:00,주간,화,1,1.0,0,0,0,부산,북구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,횡단보도상,_승합차,_중형,_보행자,_보행자,129.0033212,35.2096771,5.0,,없음,20190331
2017,2017-04-06 12:00,주간,목,1,1.0,0,0,0,부산,북구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_승용차,_보행자,_보행자,129.0040986,35.21340641,0.0,,없음,20190331
2017,2017-08-26 4:00,야간,토,1,1.0,0,0,0,부산,북구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_이륜차,_이륜차,_없음,_없음,129.0042159,35.21321561,10.0,,없음,20190331
2023,2023-09-01 23:00,야,금,1,,0,0,0,부산,북구,차대사람,횡단중,횡단중,,_안전운전 의무 불이행,교차로,교차로부근,_,승용차_,_,보행자_,129.0054171,35.21014693,,0.0,없음,20190331
2015,2015-06-11 16:25,주,목,1,1.0,0,0,0,부산,해운대구,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,중앙선 침범_,단일로,기타단일로,승용차_,중형_,보행자_,보행자_,129.1321859,35.19240162,,,없음,20190331
2018,2018-02-02 5:55,야,금,1,1.0,0,0,0,부산,북구,차대사람,횡단중,횡단중,운전자법규위반,신호위반_,교차로,교차로내,승용차_,승용차_,보행자_,보행자_,129.0075588,35.1964519,,,없음,20190331
2020,2020-07-02 17,주,목,1,,0,0,0,부산,북구,차대차,측면충돌,측면충돌,,_신호위반,교차로,교차로내,_,이륜차_,_,승용차_,129.007871,35.1961054,,0.0,없음,20190331
2016,2016-03-05 22:00,야간,토,1,1.0,0,0,0,부산,북구,차대차,기타,기타,운전자법규위반,중앙선 침범_,단일로,기타단일로,_자전거,_자전거,_승용차,_중형,129.0133734,35.25968549,29.0,,있음,20190331
2020,2020-09-26 18,야,토,1,,0,0,0,부산,북구,차량단독,기타,기타,,_안전운전 의무 불이행,단일로,기타단일로,_,이륜차_,_,없음_,129.0133836,35.25934725,,0.0,있음,20190331
2016,2016-12-07 20:00,야간,수,1,2.0,1,0,0,부산,북구,차대차,기타,기타,운전자법규위반,안전거리 미확보_,단일로,기타단일로,_이륜차,_대형,_승용차,_소형,129.0124343,35.25794813,26.0,,없음,20190331
2020,2020-01-18 23,야,토,1,,1,0,0,부산,북구,차량단독,기타,기타,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,없음_,129.0108041,35.25456946,,1.0,없음,20190331
2022,2022-07-03 10:00,주,일,1,,0,0,0,부산,북구,차대차,기타,기타,,_신호위반,교차로,교차로내,_,승용차_,_,자전거_,129.011665,35.25677214,,0.0,없음,20190331
2022,2022-10-08 6:00,주,토,1,,0,0,0,부산,수영구,차대사람,횡단중,횡단중,,_기타,단일로,기타단일로,_,승용차_,_,보행자_,129.1114864,35.15140376,,0.0,있음,20190331
2023,2023-04-20 19:00,야,목,1,,0,0,0,부산,수영구,차대사람,차도통행중,차도통행중,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,보행자_,129.1147905,35.15473174,,0.0,있음,20190331
2015,2015-12-29 16:10,주,화,1,1.0,0,0,0,부산,중구,차대차,측면충돌,측면충돌,운전자법규위반,부당한 회전_,교차로,교차로부근,원동기장치자전거_,원동기장치자전거_,승합차_,소형_,129.0280461,35.1032478,,,없음,20190331
2016,2016-08-10 6:00,주간,수,1,1.0,0,0,0,부산,중구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반_,교차로,교차로내,_자전거,_자전거,_승용차,_중형,129.0252393,35.10316684,13.0,,없음,20190331
2017,2017-09-03 5:00,야간,일,1,1.0,0,0,0,부산,중구,차대사람,횡단중,횡단중,운전자법규위반,신호위반_,단일로,기타단일로,_승용차,_승용차,_보행자,_보행자,129.0269668,35.10302698,10.0,,없음,20190331
2018,2018-10-06 16:18,주,토,1,1.0,0,0,0,부산,중구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,이륜차_,이륜차_,보행자_,보행자_,129.0251046,35.10200454,,,없음,20190331
2022,2022-11-24 13:00,주,목,1,,0,0,0,부산,중구,차대사람,횡단중,횡단중,,_안전운전 의무 불이행,교차로,교차로부근,_,승합차_,_,보행자_,129.0250817,35.10195073,,0.0,없음,20190331
2016,2016-08-30 4:00,야간,화,1,1.0,0,0,0,부산,중구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_이륜차,_중형,_,_,129.0322067,35.11276144,40.0,,있음,20190331
2021,2021-05-29 9:00,주,토,1,,0,0,0,부산,중구,차대사람,길가장자리구역통행중,길가장자리구역통행중,,_안전운전 의무 불이행,단일로,기타단일로,_,화물차_,_,보행자_,129.0332944,35.11166574,,0.0,있음,20190331
2017,2017-08-22 8:00,주간,화,1,1.0,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승합차,_승합차,_보행자,_보행자,129.0392284,35.16985273,44.0,,없음,20190331
2018,2018-05-02 17:35,주,수,1,1.0,0,0,0,부산,부산진구,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반_,교차로,교차로부근,승용차_,승용차_,보행자_,보행자_,129.0384709,35.16752718,,,없음,20190331
2018,2018-12-01 15:45,주,토,1,1.0,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,운전자법규위반,과속_,교차로,교차로내,승용차_,승용차_,보행자_,보행자_,129.0383657,35.17004581,,,없음,20190331
2020,2020-06-24 14,주,수,1,,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,,_보행자 보호의무 위반,교차로,교차로횡단보도내,_,승합차_,_,보행자_,129.0382888,35.17009908,,0.0,없음,20190331
2022,2022-11-28 6:00,주,월,1,,0,0,0,부산,동구,차대사람,차도통행중,차도통행중,,_안전운전 의무 불이행,단일로,지하차도(도로)내,_,승용차_,_,보행자_,129.0374032,35.12011593,,0.0,없음,20190331
2015,2015-09-11 6:50,주,금,1,1.0,0,0,0,부산,부산진구,차대차,정면충돌,정면충돌,운전자법규위반,신호위반_,교차로,교차로내,화물차_,소형_,원동기장치자전거_,원동기장치자전거_,129.0654314,35.16321465,,,없음,20190331
2016,2016-10-28 2:00,야간,금,1,1.0,0,0,0,부산,진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_중형,_보행자,_보행자,129.0658268,35.16597386,5.0,,없음,20190331
2017,2017-08-21 4:00,야간,월,1,1.0,0,0,0,부산,부산진구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_승용차,_보행자,_보행자,129.0631541,35.16297358,59.0,,없음,20190331
2018,2018-10-06 2:11,야,토,1,1.0,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,승용차_,승용차_,보행자_,보행자_,129.0648916,35.16541253,,,없음,20190331
2018,2018-01-18 5:05,야,목,1,1.0,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,운전자법규위반,과속_,단일로,기타단일로,승용차_,승용차_,보행자_,보행자_,129.0651552,35.16604926,,,없음,20190331
2022,2022-05-16 23:00,야,월,1,,0,0,0,부산,부산진구,차대차,추돌,추돌,,_안전운전 의무 불이행,교차로,교차로부근,_,건설기계_,_,이륜차_,129.0664939,35.16651882,,0.0,없음,20190331
2016,2016-12-07 21:00,야간,수,1,1.0,0,0,0,부산,진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_중형,_보행자,_보행자,129.0326691,35.15148896,15.0,,있음,20190331
2016,2016-09-01 22:00,야간,목,1,1.0,0,0,0,부산,진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_중형,_보행자,_보행자,129.0327344,35.15146108,5.0,,있음,20190331
2022,2022-09-19 17:00,주,월,1,,2,2,0,부산,부산진구,차대차,추돌,추돌,,_기타,단일로,고가도로위,_,승용차_,_,승용차_,129.0328027,35.15217249,,4.0,있음,20190331
2016,2016-12-07 21:00,야간,수,1,1.0,0,0,0,부산,진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_중형,_보행자,_보행자,129.0326691,35.15148896,15.0,,없음,20190331
2016,2016-09-01 22:00,야간,목,1,1.0,0,0,0,부산,진구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_중형,_보행자,_보행자,129.0327344,35.15146108,5.0,,없음,20190331
2022,2022-09-19 17:00,주,월,1,,2,2,0,부산,부산진구,차대차,추돌,추돌,,_기타,단일로,고가도로위,_,승용차_,_,승용차_,129.0328027,35.15217249,,4.0,없음,20190331
2015,2015-06-20 6:48,주,토,1,1.0,0,0,0,부산,부산진구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,승용차_,중형_,보행자_,보행자_,129.0484119,35.15327229,,,없음,20190331
2017,2017-06-26 19:00,야간,월,1,1.0,0,0,0,부산,북구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_화물차,_화물차,_보행자,_보행자,129.0158949,35.20971594,0.0,,있음,20190331
2018,2018-02-08 21:00,야,목,1,1.0,0,0,0,부산,북구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,승합차_,승합차_,보행자_,보행자_,129.0155794,35.20958736,,,있음,20190331
2019,2019-09-17 13,주,화,1,,0,0,0,부산,북구,차대사람,기타,기타,,_안전운전 의무 불이행,교차로,교차로내,_,승용차_,_,보행자_,129.0156016,35.21019115,,0.0,있음,20190331
2020,2020-06-17 01,야,수,1,,0,0,0,부산,북구,차량단독,공작물충돌,공작물충돌,,_안전운전 의무 불이행,단일로,기타단일로,_,이륜차_,_,없음_,129.0127554,35.21185866,,0.0,있음,20190331
2015,2015-06-07 22:43,야,일,1,1.0,0,0,0,부산,남구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,원동기장치자전거_,원동기장치자전거_,불명_,불명_,129.1124001,35.12371241,,,없음,20190331
2018,2018-08-25 5:00,야,토,1,1.0,0,0,0,부산,남구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반_,단일로,기타단일로,승용차_,승용차_,보행자_,보행자_,129.1123514,35.12235164,,,없음,20190331
2021,2021-06-30 1:00,야,수,1,,0,0,0,부산,남구,차대사람,기타,기타,,_안전운전 의무 불이행,교차로,교차로횡단보도내,_,승용차_,_,보행자_,129.1122971,35.12237941,,0.0,없음,20190331
2018,2018-04-21 5:17,야,토,2,2.0,0,0,0,부산,남구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범_,단일로,기타단일로,이륜차_,이륜차_,승용차_,승용차_,129.0769363,35.13414008,,,없음,20190331
2023,2023-04-01 0:00,야,토,1,,0,0,0,부산,남구,차대사람,차도통행중,차도통행중,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,보행자_,129.0735278,35.13609761,,0.0,없음,20190331
2023,2023-04-09 5:00,야,일,1,,0,0,0,부산,남구,차대차,기타,기타,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,이륜차_,129.0757642,35.13482433,,0.0,없음,20190331
2016,2016-05-14 2:00,야간,토,1,2.0,0,1,0,부산,수영구,차대사람,차도통행중,차도통행중,운전자법규위반,과속_,단일로,기타단일로,_승용차,_대형,_보행자,_보행자,129.1067162,35.13881765,32.0,,없음,20190331
2017,2017-05-26 15:00,주간,금,1,1.0,0,0,0,부산,수영구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승합차,_승합차,_없음,_없음,129.1070624,35.14135558,8.0,,없음,20190331
2015,2015-04-28 23:25,야,화,1,2.0,1,0,0,부산,남구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행_,교차로,교차로내,승용차_,중형_,특수차_,대형_,129.0788101,35.12090892,,,있음,20190331
2016,2016-09-13 8:00,주간,화,1,1.0,0,0,0,부산,남구,차대사람,횡단중,횡단중,운전자법규위반,신호위반_,교차로,교차로내,_화물차,_대형,_보행자,_보행자,129.0803465,35.11864389,20.0,,있음,20190331
2019,2019-10-22 06,주,화,1,,0,0,0,부산,남구,차대차,측면충돌,측면충돌,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,화물차_,129.0812067,35.11602701,,0.0,있음,20190331
2022,2022-01-20 13:00,주,목,1,,0,0,0,부산,남구,차대사람,횡단중,횡단중,,_보행자 보호의무 위반,단일로,기타단일로,_,화물차_,_,보행자_,129.0810843,35.11991455,,0.0,있음,20190331
2023,2023-10-12 23:00,야,목,1,,0,0,0,부산,금정구,차대차,추돌,추돌,,_안전운전 의무 불이행,단일로,기타단일로,_,이륜차_,_,화물차_,129.0765438,35.22978887,,0.0,있음,20190331
2017,2017-08-19 9:00,주간,토,1,1.0,0,0,0,부산,연제구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행_,교차로,교차로부근,_승용차,_승용차,_보행자,_보행자,129.0828076,35.18873314,14.0,,있음,20190331
2023,2023-02-22 10:00,주,수,1,,0,0,0,부산,연제구,차대차,기타,기타,,_안전거리 미확보,교차로,교차로부근,_,원동기장치자전거_,_,승합차_,129.0803752,35.1910694,,0.0,있음,20190331
2016,2016-07-21 4:00,야간,목,1,1.0,0,0,0,부산,해운대구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_중형,_보행자,_보행자,129.1265619,35.18250388,42.0,,있음,20190331
2018,2018-08-12 4:59,야,일,1,1.0,0,0,0,부산,해운대구,차대차,정면충돌,정면충돌,운전자법규위반,신호위반_,교차로,교차로내,이륜차_,이륜차_,승용차_,승용차_,129.1260114,35.17906899,,,있음,20190331
2020,2020-09-03 03,야,목,1,,0,0,0,부산,북구,차량단독,공작물충돌,공작물충돌,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,없음_,129.041555,35.21338869,,0.0,없음,20190331
2022,2022-10-08 6:00,주,토,1,,0,0,0,부산,수영구,차대사람,횡단중,횡단중,,_기타,단일로,기타단일로,_,승용차_,_,보행자_,129.1114864,35.15140376,,0.0,없음,20190331
2023,2023-04-20 19:00,야,목,1,,0,0,0,부산,수영구,차대사람,차도통행중,차도통행중,,_안전운전 의무 불이행,단일로,기타단일로,_,승용차_,_,보행자_,129.1147905,35.15473174,,0.0,없음,20190331
2022,2022-11-01 14:00,주,화,1,,0,0,0,부산,서구,차대차,추돌,추돌,,_안전운전 의무 불이행,단일로,터널안,_,이륜차_,_,승용차_,129.003597,35.12863664,,0.0,있음,20190331
2019,2019-06-26 12,주,수,1,,1,0,0,전남,보성군,차대차,측면충돌,측면충돌,,_신호위반,교차로,교차로내,_,승용차_,_,승용차_,127.0630268,34.66809599,,1.0,없음,20220215
2021,2021-02-13 21:00,야,토,1,,1,0,0,전남,보성군,차량단독,공작물충돌,공작물충돌,,_기타,교차로,교차로부근,_,승용차_,_,없음_,127.3417529,34.8381225,,1.0,없음,20220215
2019,2019-11-11 07,주,월,1,,0,0,0,전남,보성군,차량단독,도로이탈,도로이탈 기타,,_안전운전 의무 불이행,단일로,기타단일로,_,이륜차_,_,없음_,127.3409314,34.84840968,,0.0,없음,20220215
2021,2021-10-02 15:00,주,토,1,,0,0,0,전남,보성군,차량단독,기타,기타,,_안전운전 의무 불이행,단일로,기타단일로,_,화물차_,_,없음_,127.3394554,34.848029,,0.0,없음,20220215
2015,2015-03-09 23:30,야,월,1,1.0,0,0,0,전남,곡성군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행_,교차로,교차로내,승용차_,중형_,없음_,없음_,127.2970753,35.27967924,,,없음,20211221
2017,2017-05-05 17:00,주간,금,1,1.0,0,0,0,전남,곡성군,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행_,기타,기타,_자전거,_자전거,_없음,_없음,127.2942069,35.27774656,5.0,,없음,20211221
